2. maailmansota,II maailmansota,toinen maailmansota        Vapaa Ranska
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Becket,Pyhä Thomas Becket,Thomas Becket
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Beda,Beda Venerabilis,Pyhä Beda
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Bonifatius,Pyhä Bonifatius,Saksan apostoli,Winfred,Wynfrith
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Bruno,P. Bruno,Pyhä Bruno
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Divine Office
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Domingo de Guzman,Dominic,Pyhä Dominic,Pyhä Dominicus
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Eusebius Hieronymus,Eusebius Sophronius Hieronymus,Hieronymus,P. Hieronymus,Pyhä Hieronymus
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Franciscus Assisilainen,Fransiskus Assisilainen,Giovanni di Bernardone,Pyhä Fransiskus,Pyhä Fransiskus Assisilainen
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Gregorios Nazianzilainen
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Gregorius I,Gregorius Suuri,Pyhä Gregorius I
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Herran rauha
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Ignatius Loyola,Loyola,Pyhä Ignatius Loyola
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Irenaeus,P. Irenaeus,Pyhä Irenaeus
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Johannes Krysostomos,P. Johannes Krysostomos
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Little Office,pieni hetkipalvelus<unconfirmed/>
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Monsignore
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Neitsyt Marian perisynnitön sikiäminen,perisynnitön sikiäminen
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Paavin diplomaattinen edustaja<approximate/>
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Paternoster
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Pyhä vuosi
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Rota
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Suuri skisma
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        Vulgata
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        ane
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        apostolinen delegaatti
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        apostolinen nuntius,nuntius
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        autuaaksi julistaminen,beatifikaatio
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        begiini
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        breviaario,rukouskirja
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        esittäjä<unconfirmed/>
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        graduaali
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        hengellinen kukkakimppu<unconfirmed/>
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        iltamessu vainajien kunniaksi
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        kanoninen hetki
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        kanonisaatio,kanonisointi,pyhäksi julistaminen
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        kardinaali
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        kardinaalikollegio
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        katumuksentekijä
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        kirkonopettaja
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        kuuria
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        messu
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        messukirja
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        monstranssi,ostensorium<unconfirmed/>
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        muistokortti<unconfirmed/>
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        novena
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        oppilas
Rooman kirkko,katolinen kirkko,roomalaiskatolinen kirkko        paavinvalta<approximate/>,ultramontanismi
