loisto,ulkonainen 267 1
luja,päätös 406 14
lukea,kirjoitus 259 3
lukea,raamattu 495 23
lukea,rukous 271 8
lukita,avain 269 1
luku,seitsemäs 503 19
luku,viides 457 14
luku,yhdeksäs 540 25
luodata,sysätä 716 32
luode,vuoksi 319 2
luonnollinen,teoria 215 1
luonnollinen,valinta 2233 63
luulo,vahvistaa 274 9
luu,tunkea 242 2
luu,ydin 1280 3
luvata,palkinto 368 5
lähempi,tuttavuus 305 12
lähettää,hakea 221 1
lähettää,noutaa 539 15
läntinen,itäinen 328 6
läpi,kuultaa 329 5
maallikko,pappi 239 2
maallinen,taivaallinen 284 10
mainio,sopia 284 1
maksaa,dollari 460 7
maksaa,frangi 280 3
maksaa,hinta 352 3
maksaa,markka 442 6
maksaa,penni 384 7
maksaa,punta 236 5
maksaa,rupla 477 12
maksaa,velka 1019 74
mamma,pappa 933 25
markka,maksaa 442 6
markka,penni 740 5
meluta,huutaa 222 1
menneisyys,nykyisyys 363 3
merkitys,käsittää 209 2
merkitys,varsinainen 232 1
mieli,johtua 406 8
muistaa,eilinen 243 2
munkki,nunna 428 9
muunnella,laji 319 7
muunnos,laji 883 15
muutos,tapahtua 910 33
myydä,osake 391 19
myöntää,vastaus 323 12
nauru,sukia 472 20
navetta,talli 599 18
neiti,armollinen 460 16
neiti,arvoisa 434 14
neli,täysi 769 29
neljännes,kello 312 2
neljännes,tunti 440 23
neljäs,luku 333 6
neljäs,viides 347 6
nenä,niistää 1158 19
neuvo,noudattaa 481 13
niistää,nenä 1158 19
niitty,niittää 270 1
niitty,pelto 923 15
niittää,heinä 671 6
niittää,kylvää 216 2
niittää,niitty 270 1
noudattaa,pyyntö 226 4
noudattaa,sääntö 591 24
noudattaa,varovaisuus 453 10
noutaa,lähettää 539 15
nunna,munkki 428 9
nuora,kiinnittää 266 5
nuoruus,lapsuus 312 3
nykyisyys,entisyys 384 3
nykyisyys,menneisyys 363 3
nyökäyttää,hyväksyä 415 2
näkyvä,kadota 1419 112
näkyä,jälki 239 3
nälkä,vilu 788 4
näytelmä,näytös 468 20
näyttämö,suomalainen 392 13
näytös,kuvaelma 230 3
näytös,näytelmä 468 20
nöyrä,kiittää 415 5
nöyrä,kuuliainen 209 2
nöyrä,pyytää 218 3
oikaista,suora 355 9
oikea,vasen 317 11
oikoa,jäsen 365 9
olka,taputtaa 992 25
olut,viina 359 8
omaisuus,periä 285 4
onnistua,yritys 583 30
ooppera,suomalainen 679 42
osake,myydä 391 19
osake,ostaa 443 16
osasto,seitsemäs 352 7
osoittaa,kiitollisuus 363 17
paikata,vaate 262 8
painaa,rinta 352 14
paistaa,keittää 272 3
paljo,välittää 222 4
palkinto,luvata 368 5
paloa,silmä 287 3
panna,pantti 392 12
pannu,tuli 209 2
pantti,panna 392 12
pappi,herännyt 592 38
pappi,maallikko 239 2
parannus,katumus 422 4
parantaa,tauti 486 26
parras,koski 231 1
parras,kuilu 637 1
parras,oja 222 2
parta,tukka 484 3
pelko,vavistus 488 10
pelto,niitty 923 15
penni,viisi 398 21
periä,omaisuus 285 4
periä,piru 564 16
perkele,enkeli 331 7
perkele,ylistys 221 1
petos,valhe 393 2
pihlaja,koivu 256 2
pilkata,ivata 224 3
pito,kutsua 285 7
pohjoinen,eteläinen 351 6
poiketa,polku 359 17
poikkeus,sääntö 624 23
poistaa,epäilys 291 8
polveutua,laji 312 4
polvi,syleillä 321 11
prinsessa,prinssi 315 12
prinssi,prinsessa 315 12
prokuraattori,kuninkaallinen 1052 9
puhdas,siisti 390 1
puhelias,iloinen 197 1
puhe,puuttua 391 5
puuttua,puhe 391 5
pyyntö,noudattaa 226 4
pyyntö,suostua 1215 68
pyyntö,täyttää 443 9
pyytää,nöyrä 218 3
päilyä,aallokko 197 1
päätös,luja 406 14
päätös,ratkaiseva 348 15
raamattu,lukea 495 23
rakastaa,kunnioittaa 309 2
rakas,vanhempi 282 10
rakentaa,silta 311 8
ratkaiseva,päätös 348 15
ratkaista,kysymys 510 27
ratsastaa,satula 275 3
renki,piika 942 23
riemuita,iloita 217 3
rikos,syyttää 278 4
risteytyä,laji 228 3
ritaristo,aateli 384 13
rotta,hiiri 322 2
rouva,armollinen 686 33
rouva,viskaali 217 3
rovasti,ruustinna 566 3
rukoilla,langeta 243 1
rukous,lukea 271 8
ruotsalainen,suomalainen 348 1
ruotsalainen,teatteri 755 47
rupla,maksaa 477 12
ruuma,sielu 299 1
ruustinna,rovasti 566 3
ruuti,kuula 229 2
sairastua,kuolla 252 4
sammua,syttyä 305 10
sanoma,tuoda 246 3
satula,ratsastaa 275 3
seinä,riippua 392 11
seitsemäs,kohtaus 948 1
seitsemäs,luku 503 19
seitsemäs,osasto 352 7
selittäjä,tähde 297 1
sentti,dollari 402 7
setä,täti 192 1
seuraava,sunnuntai 254 4
seurata,jälki 257 4
seurata,äänettömyys 293 10
seura,kirjallisuus 561 22
seura,viihtyä 358 4
sievä,soma 202 1
sikäläinen,herännyt 322 1
silkki,sametti 373 19
silmäys,heittää 477 29
silmä,paloa 287 3
silta,joki 240 1
silta,rakentaa 311 8
sinetti,kirje 255 7
sisar,veli 304 7
siunata,varjella 651 1
siunaus,kirous 331 8
soittaa,kello 522 30
soittaa,laulaa 320 1
soitto,laulu 424 11
sokea,kuuro 581 7
sokea,rampa 212 2
soma,sievä 202 1
sopia,mainio 284 1
sopiva,tilaisuus 639 20
sorto,vääryys 206 1
stoola,tarina 677 6
stoola,vänrikki 843 1
sukia,hius 240 2
sukia,nauru 472 20
sukia,tukka 278 2
sukka,kenkä 719 10
sukupuutto,laji 244 4
sulkeutua,avautua 235 1
sunnuntai,seuraava 254 4
suolainen,vesi 412 4
suomalainen,kirjallisuus 1071 53
suomalainen,näyttämö 392 13
suomalainen,ooppera 679 42
suomalainen,ruotsalainen 348 1
suomalainen,teatteri 1002 18
suorittaa,tehtävä 653 27
suosio,voittaa 318 9
suostua,ehdotus 910 12
suostua,pyyntö 1215 68
suostua,tarjous 572 15
suostua,tuumata 438 19
susi,karhu 360 5
suudella,syleillä 815 5
syksy,talvi 270 2
syleillä,suudella 815 5
syntyä,äänettömyys 774 22
sysätä,luodata 716 32
syttyä,sammua 305 10
syyttää,rikos 278 4
syyttää,varkaus 329 12
syy,pätevä 623 32
syödä,juoda 312 2
syöksyä,kuilu 256 5
syöminen,juominen 410 3
syöttää,juottaa 516 7
sääntö,noudattaa 591 24
sääntö,poikkeus 624 23
tahto,vastoa 1069 79
taide,harjoittaja 246 2
taide,kirjallisuus 353 1
taide,tiede 1231 10
taivaallinen,maallinen 284 10
takki,hattu 215 3
takki,housu 373 19
takki,liivi 452 7
talli,navetta 599 18
talous,hoitaa 1213 60
tanssia,laulaa 228 1
tapahtua,muutos 910 33
tappio,voitto 433 5
taputtaa,olka 992 25
tarina,stoola 677 6
tarina,vänrikki 564 1
tarjous,suostua 572 15
tarkka,vaari 426 22
tarttua,kaulus 403 19
teatteri,ruotsalainen 755 47
teatteri,suomalainen 1002 18
tehdä,kierros 223 4
tehtävä,suorittaa 653 27
tehtävä,toimittaa 250 5
teko,tosi 296 9
teoria,luonnollinen 215 1
teoria,valinta 307 7
tervehdys,vastata 415 9
tiede,harjoittaja 258 6
tiede,kristillinen 231 2
tiede,taide 1231 10
tie,väistyä 443 12
tilaisuus,käyttää 275 5
tilaisuus,sopiva 639 20
tilata,viini 192 1
tili,vaatia 511 3
toimittaa,tehtävä 250 5
toivomus,täyttää 339 11
toivo,pettyä 421 23
tori,katu 240 1
tosi,täysi 255 5
tuhat,kiitos 241 2
tuikkia,tähti 1274 79
tuki,turva 453 6
tukka,parta 484 3
tukka,sukia 278 2
tunti,neljännes 440 23
tuottaa,tyydytys 398 21
tuppi,vetää 437 25
turha,yritys 421 23
tuttavuus,lähempi 305 12
tuuli,tuulla 213 1
tuulla,tuuli 213 1
tuumata,suostua 438 19
tytär,kersantti 234 1
tyydyttää,vaatimus 466 24
tyydytys,tuottaa 398 21
tähde,selittäjä 297 1
tähti,tuikkia 1274 79
täti,setä 192 1
täysi,vauhti 483 30
täyttää,pyyntö 443 9
täyttää,toivomus 339 11
täyttää,velvollisuus 758 45
ulkonainen,loisto 267 1
uoma,joki 471 27
uudistaa,kysymys 301 4
vaari,tarkka 426 12
vaate,paikata 262 8
vaatia,kuuliaisuus 222 3
vaatimus,tyydyttää 466 24
vahvistaa,luulo 274 9
vaikuttaa,virkistää 195 1
vaikutus,valinta 259 1
valhe,petos 393 2
valinta,luonnollinen 2233 63
valinta,teoria 307 7
valinta,vaikutus 259 1
valittaa,itkeä 242 4
varjella,siunata 651 1
varkaus,syyttää 329 12
varovaisuus,noudattaa 453 10
varovaisuus,vuoksi 375 10
varsinainen,merkitys 232 1
vasen,oikea 317 11
vastata,kysymys 265 5
vastata,tervehdys 415 9
vastaus,myöntää 323 12
vastustaa,kiusaus 468 4
vauhti,täysi 483 30
vavista,haapa 281 1
vavistus,pelko 488 10
veitikkamainen,ilme 191 1
veitsi,kahveli 794 22
veli,sisar 304 7
velvollisuus,täyttää 758 45
veri,vuotaa 1879 169
vetää,tuppi 437 25
vetää,vire 213 3
viidakko,väki 215 3
viides,luku 457 14
viides,neljäs 347 6
viihtyä,seura 358 4
viikko,viipyä 259 4
viini,tilata 192 1
viipyä,viikko 259 4
viiri,lippu 228 1
viisi,kuusi 362 5
viisi,markka 283 9
viisi,näytös 204 2
