lyöttyä,rikki 19 417
läntinen,lääni 27 497
läpi,siivilä 38 806
löytäjä,rehellinen 28 864
mahdottomuus,sulaa 44 1200
maine,veroinen 27 1065
maisteri,filosofia 121 2199
maittaa,manner 29 674
maltillinen,oikeisto 19 496
maneesi,kaarti 29 706
manner,maittaa 29 674
marssia,porilainen 19 532
matkustaja,yöpyä 18 1159
maukas,kahvi 17 409
mennyt,mytty 15 409
merta,aava 19 603
metsästys,luvaton 19 1104
miedontaa,vedellä 19 734
morsian,kihlattu 179 3678
mukailla,suomentaa 109 3419
mullistaa,keksintö 19 510
muna,vatkata 19 726
muonitus,huolehtia 19 382
muotoinen,kolmio 59 1018
musta,tupsu 22 599
mytty,mennyt 15 409
nauraa,parras 61 1144
nauris,siemen 37 628
nautinto,ylellinen 18 369
nelikko,silakka 19 914
nelikko,suolata 19 469
nenä,nuuskata 67 1197
nopeus,solmu 27 1747
nuhteeton,käytös 53 1109
nukki,leikkiä 19 441
nukkua,kuolo 50 1059
nuolla,näppi 68 1393
nuuskata,nenä 67 1197
nyplätä,pitsi 19 606
näkö,sokki 68 1125
näppi,nuolla 68 1393
näppärä,sormi 39 802
ohdakkeinen,polku 19 1070
ohra,ryyni 19 734
ohut,viipale 58 1185
oikeisto,maltillinen 19 496
oikeisto,äärimmäinen 69 1225
olematon,huveta 29 606
olematon,pyyhkäistä 28 583
olki,lyhde 29 541
omaisuus,jälkeenjäänyt 37 576
ommella,leninki 18 549
onnitella,sydämellinen 18 641
onnittelu,sydämellinen 39 1113
ooppera,aaria 49 796
ori,raudikko 39 1217
orjuus,hima 19 380
orkesteri,filharmoninen 29 856
orkesteri,säestys 29 831
orsi,aitta 28 492
orvokki,tuoksua 38 566
ostaja,halullinen 39 1315
otsa,pilkku 30 640
ovi,sulje 25 456
paari,ääri 34 1118
paheksua,jyrkkä 25 564
painoinen,kilo 208 2472
paistua,uuni 74 1119
pakata,kapsäkki 19 522
paksuinen,sentti 19 377
palkollinen,pestata 29 2284
palmu,oksa 38 835
pappila,puustelli 19 551
parras,nauraa 61 1144
parveke,etelä 15 449
passittaa,vankila 19 396
pasuuna,soida 38 822
pataljoona,kaarti 107 1817
pataljoona,kasarmi 58 1229
patteri,tykistö 19 547
peitsi,taittaa 94 2687
peitto,hämärä 38 978
pelata,tennis 59 1751
perata,riihi 39 678
perhe,lapseton 17 856
peruuttaa,hakemus 19 374
peso,kaste 19 415
pestata,palkollinen 29 2284
piano,säestys 58 3916
pilaantua,tavara 17 388
pilkku,otsa 30 640
piskuinen,lauma 59 2185
pitkällinen,pouta 81 1521
pitsi,nyplätä 19 606
pohdinta,alainen 49 972
poikia,hieho 19 475
poikkeava,tavallisuus 159 6917
poltto,tupakka 28 1280
pommittaa,tykistö 49 951
porata,reiki 29 823
porilainen,marssia 19 532
pouta,pitkällinen 81 1521
professori,fysiikka 29 501
professori,kemia 38 576
proomu,hinata 29 704
proomu,lastata 19 690
puhallella,tuulla 19 559
puhelin,soida 38 650
puhella,soida 14 339
pullo,whisky 18 418
punainen,tupsu 33 900
punata,huuli 35 611
punoa,juonia 59 1001
puoliso,rakastettu 25 599
puolue,liberaalinen 29 651
purra,hammastaa 305 4064
puustelli,pappila 19 551
puuteroida,kasvo 34 926
pyyhkäistä,olematon 28 583
pyörre,tanssia 46 706
päihdyttää,juoda 36 1114
päihdyttää,juoma 216 2890
päihdyttää,juominen 29 487
päällinen,tyyny 18 530
pääsy,esteetön 19 643
päättäjäinen,juhlallinen 19 842
pöydätä,istuutua 26 504
pöydätä,rummuttaa 19 431
pöydätä,valtti 19 820
raadanta,raskas 37 608
raide,suistua 39 1008
raiskata,ruoste 49 6929
raittius,harrastaja 59 946
raitti,suistua 19 391
rakastettu,puoliso 25 599
rakentamaton,tontti 79 2336
rangaistava,teko 18 525
rangaistus,koventaa 19 738
rappu,vasen 13 603
raskas,raadanta 37 608
rastia,ristiä 19 775
raudikko,ori 39 1217
reaktio,kemiallinen 29 549
rehellinen,kohtelu 14 453
rehellinen,löytäjä 28 864
reiki,porata 29 823
riepu,kostea 18 372
rikki,survoa 28 492
rikos,uusija 19 857
ristiä,rastia 19 775
roikkua,vatsa 18 424
ruhtinaallinen,ylhäisyys 18 523
ruis,hedelmöidä 19 532
ruis,jauhattaa 19 391
rummuttaa,pöydätä 19 431
ruoste,raiskata 49 6929
ruostua,kynä 18 502
ruskea,käpälä 24 446
ruskettua,iho 58 1122
rutto,saastuttaa 151 1696
ruusu,tuoksuta 28 495
rykmentti,kasarmi 18 362
rykmentti,komentaja 121 1610
ryyni,ohra 19 734
räpäyttää,silmätä 39 4395
saastainen,huuli 11 449
saastuttaa,kolera 19 689
saastuttaa,rutto 151 1696
sairaala,kirurginen 29 3432
sairastua,kolera 39 2518
salata,sikiö 17 377
salonki,sisustaa 19 474
samarialainen,laupias 109 1439
sammota,takoa 19 502
sammuttaa,janota 37 553
sateinen,säkä 39 968
savustaa,silakka 29 623
selkonen,selkä 58 1053
selkä,selkonen 58 1053
selus,tuoli 19 377
sentti,paksuinen 19 377
seurustelu,toverillinen 19 1043
sieni,syötävä 29 516
siima,uistin 29 502
siivilä,läpi 38 806
sijaisuus,virka 19 508
sikiö,salata 17 377
silakka,nelikko 19 914
silakka,savustaa 29 623
silakka,suolata 29 1295
silmätä,räpäyttää 39 4395
singahtaa,kipinä 29 575
sisustaa,salonki 19 474
sisustaa,vanu 29 714
sisäinen,eheys 19 431
sohva,topata 39 701
soida,helkkyä 19 397
soida,pasuuna 38 822
soida,puhelin 38 650
soida,puhella 14 339
soimata,kattila 110 1419
soittaa,hanuri 48 798
soitto,kitara 27 571
sokki,näkö 68 1125
solmu,nopeus 27 1747
suhtautua,suopea 19 440
suistua,raide 39 1008
suistua,raitti 19 391
suitsea,kynttilä 38 772
suksi,voidella 27 587
sulaa,mahdottomuus 44 1200
sulje,ovi 25 456
sulkeutua,arvoisa 23 509
sulkeutua,kuore 106 1603
suloinen,tuoksuta 34 555
suolata,nelikko 19 469
suolata,silakka 29 1295
suomentaa,mukailla 109 3419
suopea,suhtautua 19 440
suostumus,holhooja 47 1675
survoa,rikki 28 492
suutari,sälli 19 455
sydämellinen,onnitella 18 641
sydämellinen,onnittelu 39 1113
synagoga,juutalainen 29 630
synti,anteeksiantamus 55 1232
syöpäläinen,hävittää 27 489
syötävä,kelvata 37 758
syötävä,sieni 29 516
säestys,orkesteri 29 831
säestys,piano 58 3916
sähköttää,langaton 29 1097
sähkötys,langaton 19 465
sälli,leipuri 19 751
sälli,suutari 19 455
taipale,tietön 19 1046
taittaa,pee 39 1721
taittaa,peitsi 94 2687
taival,tietön 59 1424
taju,huumori 19 449
takoa,sammota 19 502
tanssia,pyörre 46 706
taso,älyllinen 19 391
tavallisuus,poikkeava 159 6917
tavara,pilaantua 17 388
tavu,vokaali 19 718
teettää,kuppi 35 754
teko,rangaistava 18 525
teko,terroristinen 19 490
tennis,pelata 59 1751
teologia,kandidaatti 19 512
terroristinen,teko 19 490
tervehdys,kunnioittava 37 828
terveys,heikentyä 29 579
tietön,taipale 19 1046
tiheä,asutus 38 788
tilaton,väestö 49 1354
tilaus,uudistaa 18 1754
tirehtööri,kanslia 19 383
todistaa,jäljennös 17 384
tontti,rakentamaton 79 2336
topata,sohva 39 701
torppari,häätää 58 1234
toverillinen,seurustelu 19 1043
tukka,leikkauttaa 106 1695
tulehdus,keuhko 29 479
tuoksua,huumata 35 635
tuoksua,orvokki 38 566
tuoksuta,suloinen 34 555
tuore,vihannes 19 414
tupakka,poltto 28 1280
tutkinto,kandidaatti 28 1650
tuulla,henkäys 18 392
tuulla,puhallella 19 559
tuulla,vieno 17 387
tyhmä,eksyä 13 337
tykistö,järeä 158 2217
tykistö,pommittaa 49 951
tyyny,päällinen 18 530
työntää,kuula 11 311
täky,kurkku 17 433
täky,laukata 19 2881
täyte,patja 29 539
törkeä,varkaus 38 2911
uistin,siima 29 502
urkuri,lukkari 38 970
urku,säestys 19 752
uudistaa,tilaus 18 1754
uuni,paistua 74 1119
uusija,rikos 19 857
uusinta,kuosi 29 2093
vaatettaa,hattu 16 462
vaeltaja,väsyä 18 485
vaihe,varhainen 37 614
vaihtelu,virkistää 18 476
vaikutus,haitallinen 17 410
vaipua,kuolo 41 1417
vakka,kynttilä 167 3856
valaa,vannoa 30 1180
valmistus,juusto 18 743
valtti,pöydätä 19 820
